Time,In,Out
1580207544.4925542,0,0
Time,In,Out
1580207600.148756,0,1
Time,In,Out
1580207820.180403,0,1
Time,In,Out
1580207870.6644995,0,1
Time,In,Out
1580207903.2739017,0,1
Time,In,Out
1580207939.5837302,0,1
Time,In,Out
1580207973.4661222,0,1
Time,In,Out
1580208018.3332222,0,1
Time,In,Out
1580208083.9393423,0,1
Time,In,Out
1580208184.6029077,0,1
Time,In,Out
1580208219.3570979,0,1
Time,In,Out
1580208259.8898082,0,1
Time,In,Out
1580208306.9959507,0,1
Time,In,Out
1580208347.5300655,0,1
Time,In,Out
1580208393.420298,0,1
Time,In,Out
1580208927.5755625,1,1
1580208927.9366336,1,2
1580208952.8414779,1,3
Time,In,Out
1580209065.0203018,1,3
Time,In,Out
1580209597.4972456,2,3
1580209599.8707793,2,4
1580209606.4727597,2,5
1580209612.361027,2,6
1580209616.1323612,3,6
1580209616.276906,4,6
1580209620.6681702,4,7
1580209624.0029864,5,7
1580209628.5396018,6,7
1580209643.7785788,7,7
1580209649.5113108,8,7
1580209658.2960453,9,7
Time,In,Out
1580209751.3413742,9,7
Time,In,Out
1580209978.2771811,10,7
Time,In,Out
1580210053.797132,10,7
Time,In,Out
1580210103.737184,10,7
Time,In,Out
1580210292.2021115,11,7
1580210328.3724945,11,8
1580210365.4464118,11,9
1580210373.0421023,11,10
Time,In,Out
1580210489.4080212,11,10
Time,In,Out
1580210549.3788736,11,10
Time,In,Out
1580210633.3650155,11,10
Time,In,Out
1580210714.152271,11,10
Time,In,Out
1580211084.6536071,11,10
Time,In,Out
1580211122.3389611,11,10
Time,In,Out
1580211171.677738,11,10
Time,In,Out
1580211199.1396463,11,10
Time,In,Out
1580211248.9400394,11,10
Time,In,Out
1580211303.8592901,11,10
Time,In,Out
1580211344.520601,11,10
Time,In,Out
1580211446.6735685,11,10
Time,In,Out
1580211651.1254797,11,10
